verificationKey,scientificName,nameKey,taxonID,kingdom,phylum,class,order,family,genus,species,datasetKey,parentKey,parent,canonicalName,authorship,nameType,rank,taxonomicStatus,acceptedKey,acceptedName,datasetKeys,taxonKeys
1309652,"Dryocosmus kuriphilus Yasumatsu, 1951",3736378,gbif:1309652,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Dryocosmus,Dryocosmus kuriphilus,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1309651,Dryocosmus,Dryocosmus kuriphilus,"Yasumatsu, 1951",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206095822
1311477,"Vespa velutina Lepeletier, 1836",11749702,gbif:1311477,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa velutina,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1311334,Vespa,Vespa velutina,"Lepeletier, 1836",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206101012|164301189
1313740,"Camponotus vagus (Scopoli, 1763)",1913464,gbif:1313740,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus vagus,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1312361,Camponotus,Camponotus vagus,"(Scopoli, 1763) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206112334|164301218
1314773,"Monomorium pharaonis (Linnaeus, 1758)",7154233,gbif:1314773,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium,Monomorium pharaonis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1314419,Monomorium,Monomorium pharaonis,"(Linnaeus, 1758) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301195
1316805,"Tapinoma melanocephalum (Fabricius, 1793)",11017099,gbif:1316805,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tapinoma,Tapinoma melanocephalum,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1316784,Tapinoma,Tapinoma melanocephalum,"(Fabricius, 1793) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301210
1316908,"Linepithema humile (Mayr, 1868)",6355335,gbif:1316908,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1316904,Linepithema,Linepithema humile,"(Mayr, 1868) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301199
1319260,"Tetraponera allaborans (Walker, 1859)",11125950,gbif:1319260,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetraponera,Tetraponera allaborans,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1319181,Tetraponera,Tetraponera allaborans,"(Walker, 1859) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301214
1320777,"Plagiolepis pygmaea (Latreille, 1798)",8822105,gbif:1320777,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Plagiolepis,Plagiolepis pygmaea,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1320758,Plagiolepis,Plagiolepis pygmaea,"(Latreille, 1798) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301204
1321805,"Pheidole bilimeki Mayr, 1870",8540050,gbif:1321805,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole bilimeki,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1321654,Pheidole,Pheidole bilimeki,"Mayr, 1870",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301202
1322674,"Pheidole anastasii Emery, 1896",8538936,gbif:1322674,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole anastasii,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1321654,Pheidole,Pheidole anastasii,"Emery, 1896",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301201
1323402,"Tetramorium bicarinatum (Nylander, 1846)",11117998,gbif:1323402,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,Tetramorium bicarinatum,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1323128,Tetramorium,Tetramorium bicarinatum,"(Nylander, 1846) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301220
1325561,"Paratrechina longicornis (Latreille, 1802)",8229602,gbif:1325561,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Paratrechina,Paratrechina longicornis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1325421,Paratrechina,Paratrechina longicornis,"(Latreille, 1802) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301212
1326634,"Hypoponera punctatissima (Roger, 1859)",5493635,gbif:1326634,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,Hypoponera punctatissima,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1326614,Hypoponera,Hypoponera punctatissima,"(Roger, 1859) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301206
1342324,"Xylocopa virginica (Linnaeus, 1771)",11922728,gbif:1342324,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1342048,Xylocopa,Xylocopa virginica,"(Linnaeus, 1771) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206102095|168131099
