checklist_scientificName	backbone_scientificName	backbone_taxonomicStatus	backbone_acceptedName	backbone_taxonKey	backbone_acceptedKey	backbone_kingdom	backbone_issues	verification_key	date_added	checklists	remarks
Centaurea x extranea Beck	Centaurea ×extranea Beck	SYNONYM	Centaurea jacea x nigrescens	8173637	9671002	Plantae		9671002	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Carduus x theriotii Rouy	Carduus theriotii Rouy, 1905	SYNONYM	Carduus cyrneus Schlüssel & Jeanm.	4211074	3114588	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Tagetes patula L.	Tagetes patula L.	SYNONYM	Tagetes erecta L.	3088492	3088488	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Achillea cartilaginea Ledeb. ex Reichenb. s.l.	Achillea cartilaginea Ledeb. ex Rchb.	SYNONYM	Achillea salicifolia subsp. salicifolia	3120381	7222196	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Schkuhria pinnata (Lam.) O. Kuntze ex Thell. var. pinnata	Schkuhria pinnata var. pinnata	SYNONYM	Schkuhria pinnata (Lam.) Kuntze	7066061	8346536	Plantae		8346536	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pulicaria arabica (L.) Cass. subsp. hispanica (Boiss.) Murb.	Pulicaria arabica subsp. hispanica (Boiss.) Murb.	SYNONYM	Pulicaria paludosa Link	6076957	3095595	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Senecio quadridentatus Labill.	Senecio quadridentatus Labill.	SYNONYM	Erechtites quadridentata (Labill.) DC.	3107661	3107663	Plantae		3107663	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cyanus depressa (Bieb.) Soják	Cyanus depressus (M.Bieb.) Sojak	SYNONYM	Centaurea depressa M.Bieb.	8334968	3089549	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Helipterum floribundum DC.	Helipterum floribundum A.Cunn. ex DC.	SYNONYM	Rhodanthe floribunda (DC.) Paul G.Wilson	3137630	3137629	Plantae		3137629	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cichorium calvum Schultz-Bip.	Cichorium calvum Sch.Bip.	SYNONYM	Cichorium calvum Sch.Bip. ex Aschers.	8199647	5392271	Plantae		5392271	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cyanus triumfettii (All.) Á. Löve & D. Löve	Cyanus triumfettii (All.) Dostal ex A. & D.Love	SYNONYM	Centaurea triumfettii subsp. triumfettii	5386028	7338495	Plantae		5386028	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Senecio glossanthus (Sonder) Belcher	Senecio glossanthus (Sond.) Belcher	SYNONYM	Erechtites glossantha Sond.	3108121	3108123	Plantae		3108123	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Guizotia scabra (Vis,) Chiov. subsp. schimperi (Sch. Bip.) J. Baagøe	Guizotia scabra subsp. schimperi (Sch.Bip.) Baagoe	SYNONYM	Guizotia schimperi Sch.Bip.	8335765	3088652	Plantae		3088652	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cichorium endivia L. subsp. endivia	Cichorium endivia subsp. endivia	SYNONYM	Cichorium endivia L.	7823591	5392243	Plantae		5392243	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Centaurea x psammogena Gáyer	Centaurea psammogena Gáyer	SYNONYM	Centaurea varnensis Velen.	8708866	3128725	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Osteospermum jucundum (Phillips) Norlindh	Osteospermum jucundum (Phill.) T.Norl.	SYNONYM	Dimorphotheca jucunda E.Phillips	3093587	5402340	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Xanthium ambrosioides Hook. & Arnott	Xanthium ambrosioides Hook. & Arn.	SYNONYM	Xanthium spinosum var. ambrosioides (Hook & Arn.) Löve & Dans.	3089140	8005391	Plantae		8005391	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eurybia divaricata (L.) Nesom	Eurybia divaricata (L.) G.L.Nesom	SYNONYM	Croptilon divaricatum (Nutt.) Raf.	5396125	3139628	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erigeron x huelsenii Vatke	Erigeron huelsenii Vatke	SYNONYM	×Conyzigeron huelsenii (Vatke) Rauschert	3095939	3095938	Plantae		3095938	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Centaurea algeriensis Coss. & Durieu	Centaurea algeriensis Dur. & Coss.	SYNONYM	Centaurea diluta subsp. algeriensis (Coss. & Dur.) Maire	4207003	6076279	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Soliva pterosperma (Juss.) Less.	Soliva pterosperma (Juss.) Less.	SYNONYM	Soliva sessilis Ruiz & Pav.	3092698	3092691	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Galactites elegans (All.) Nyman ex Soldano	Galactites elegans (All.) Nym. ex A.Soldano	SYNONYM	Centaurea cineraria subsp. cineraria	3137580	7066118	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Schkuhria pinnata (Lam.) O. Kuntze ex Thell. var. abrotanoides (Roth) Cabrera	Schkuhria pinnata var. abrotanoides (Roth) Cabrera	SYNONYM	Schkuhria pinnata (Lam.) Kuntze	4247879	8346536	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Helipterum strictum (Lindl.) Benth.	Helipterum strictum (Lindl.) Benth.	SYNONYM	Rhodanthe stricta (Lindl.) Paul G.Wilson	3137688	3137686	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Carthamus lanatus L.	Carthamus lanatus L.	SYNONYM	Carthamus lanatus subsp. lanatus	3138230	7223448	Plantae		3138230	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
