key,scientificName,canonicalName,authorship,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,parentKey,parent,acceptedKey,accepted,source
1420829,"Hercinothrips femoralis (Reuter, 1891)",Hercinothrips femoralis,"(Reuter, 1891)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Hercinothrips,Hercinothrips femoralis,1420827,Hercinothrips,,,unified checklist
1420846,"Echinothrips americanus Morgan, 1913",Echinothrips americanus,"Morgan, 1913",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Echinothrips,Echinothrips americanus,1420843,Echinothrips,,,unified checklist
1420857,"Parthenothrips dracaenae (Heeger, 1854)",Parthenothrips dracaenae,"(Heeger, 1854)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Parthenothrips,Parthenothrips dracaenae,1420856,Parthenothrips,,,unified checklist
1421091,"Lepisma saccharinum Linnaeus, 1758",Lepisma saccharinum,"Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,Lepisma,Lepisma saccharinum,1421090,Lepisma,,,unified checklist
1421095,"Ctenolepisma lineata (Fabricius, 1775)",Ctenolepisma lineata,"(Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,Ctenolepisma,Ctenolepisma lineata,1421092,Ctenolepisma,,,unified checklist
1421105,"Thermobia domestica (Packard, 1837)",Thermobia domestica,"(Packard, 1837)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,Thermobia,Thermobia domestica,1421103,Thermobia,,,unified checklist
1422818,"Pseudagrion microcephalum (Rambur, 1842)",Pseudagrion microcephalum,"(Rambur, 1842)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Pseudagrion,Pseudagrion microcephalum,1422769,Pseudagrion,,,unified checklist
1423286,"Ischnura senegalensis (Rambur, 1842)",Ischnura senegalensis,"(Rambur, 1842)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura senegalensis,1423281,Ischnura,,,unified checklist
1428861,"Trithemis kirbyi Selys, 1891",Trithemis kirbyi,"Selys, 1891",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Trithemis,Trithemis kirbyi,7960601,Trithemis,,,unified checklist
1429199,"Leucorrhinia albifrons (Burmeister, 1839)",Leucorrhinia albifrons,"(Burmeister, 1839)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Leucorrhinia,Leucorrhinia albifrons,1429171,Leucorrhinia,,,unified checklist
1450317,"Telmatogeton japonicus Tokunaga, 1933",Telmatogeton japonicus,"Tokunaga, 1933",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Telmatogeton,Telmatogeton japonicus,1450288,Telmatogeton,,,unified checklist
1521740,"Atypophthalmus umbratus (de Meijere, 1911)",Atypophthalmus umbratus,"(de Meijere, 1911)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Atypophthalmus,Atypophthalmus umbratus,1521722,Atypophthalmus,,,unified checklist
1523193,"Euxesta pechumani Curran, 1938",Euxesta pechumani,"Curran, 1938",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Ulidiidae,Euxesta,Euxesta pechumani,1523179,Euxesta,,,unified checklist
1523628,"Callopistromyia annulipes (Macquart, 1855)",Callopistromyia annulipes,"(Macquart, 1855)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Ulidiidae,Callopistromyia,Callopistromyia annulipes,1523625,Callopistromyia,,,unified checklist
1548900,"Dohrniphora cornuta (Bigot, 1857)",Dohrniphora cornuta,"(Bigot, 1857)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Phoridae,Dohrniphora,Dohrniphora cornuta,1548850,Dohrniphora,,,unified checklist
1551754,"Phytomyza jucunda Frost & Sasakawa, 1954",Phytomyza jucunda,"Frost & Sasakawa, 1954",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Agromyzidae,Phytomyza,Phytomyza jucunda,1551312,Phytomyza,,,unified checklist
1577153,"Hermetia illucens (Linnaeus, 1758)",Hermetia illucens,"(Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Hermetia,Hermetia illucens,1577117,Hermetia,,,unified checklist
1579447,"Exaireta spinigera (Wiedemann, 1830)",Exaireta spinigera,"(Wiedemann, 1830)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Exaireta,Exaireta spinigera,1579446,Exaireta,,,unified checklist
1622599,"Rhagoletis cingulata (Loew, 1862)",Rhagoletis cingulata,"(Loew, 1862)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Rhagoletis,Rhagoletis cingulata,1622544,Rhagoletis,,,unified checklist
1622658,"Rhagoletis completa Cresson, 1929",Rhagoletis completa,"Cresson, 1929",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Rhagoletis,Rhagoletis completa,1622544,Rhagoletis,,,unified checklist
1623077,"Tephritis carmen Hering, 1937",Tephritis carmen,"Hering, 1937",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Tephritis,Tephritis carmen,6583584,Tephritis,,,unified checklist
1623354,"Capitites ramulosa (Loew, 1844)",Capitites ramulosa,"(Loew, 1844)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Capitites,Capitites ramulosa,1623351,Capitites,,,unified checklist
