verificationKey,marine,freshwater,terrestrial,datasetKey,taxonKey,scientificName
2498390,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042263,"Marmaronetta angustirostris (Menetries, 1832)"
2501248,TRUE,FALSE,FALSE,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157131449,"Mnemiopsis leidyi A.Agassiz, 1865"
2502938,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437727,"Bipalium kewense Moseley, 1878"
2513609,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437750,Entyloma calendulae (Oudem.) de Bary
2537743,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437737,Lentinula edodes (Berk.) Pegler
2557469,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437766,Ustilago maydis (DC.) Corda
2557730,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437761,Sporisorium destruens (Schltdl.) Vánky
2627503,FALSE,TRUE,FALSE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437715,"Batrachochytrium dendrobatidis Longcore, Pessier & D.K. Nichols"
2650107,FALSE,TRUE,FALSE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264623,Azolla filiculoides Lam.
2650180,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264866,Botrychium simplex Hitchc.
2650827,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264854,Cyrtomium fortunei J. Smith
2650829,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264853,Cyrtomium falcatum (L. f.) C. Presl
2650903,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264681,Onoclea sensibilis L.
2650944,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264858,Rumohra adiantiformis (Forster) Ching.
2651816,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266307,Adiantum capillus-veneris L.
2651843,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266304,Adiantum aleuticum (Rupr.) C.A. Paris
2653321,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264665,Ephedra distachya L.
2677047,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437814,"Orthodontium lineare Schwaegrichen, 1827"
2683866,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265558,Chamaecyparis lawsoniana (A.Murray) Parl.
2683894,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265555,Xanthocyparis nootkatensis (D. Don) Farjon & Harder
2684171,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265557,Thuja plicata Donn ex D. Don
2684178,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265556,Thuja occidentalis L.
2684191,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264769,Taxodium distichum (L.) L.C.M. Rich.
2684984,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264603,Araucaria araucana (Molina) K. Koch
2685361,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266578,Abies grandis (Dougl. ex D. Don) Lindl.
2685484,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266562,Abies alba Mill.
2685552,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266560,Abies nordmanniana (Steven) Spach
2685796,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266567,Pseudotsuga menziesii (Mirb.) Franco
2686157,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266561,Larix kaempferi (Lambert) Carr.
2686212,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266564,Larix decidua Mill.
2687182,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266573,Tsuga canadensis (L.) Carr.
2687210,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266579,Tsuga heterophylla (Rafin.) Sarg.
2687885,FALSE,FALSE,TRUE,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264677,Ginkgo biloba L.
