taxonKey	scientificName	datasetKey	bb_key	bb_scientificName	bb_kingdom	bb_rank	bb_taxonomicStatus	bb_acceptedKey	bb_acceptedName	bb_acceptedKingdom	bb_acceptedRank	bb_acceptedTaxonomicStatus	verificationKey	remarks	verifiedBy	dateAdded	outdated
141266629	Salix x sepulcralis Simonk. nvar. chrysocoma (Dode) Meikle	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	TRUE
141266275	Salvia lavandulifolia Vahl subsp. gallica Lippert	9ff7d317-609b-4c08-bd86-3bc404b77c42	3898065	Salvia lavandulifolia subsp. gallica W.Lippert	Plantae	SUBSPECIES	SYNONYM	6411218	Salvia officinalis subsp. gallica (W.Lippert) Reales, D.Rivera & Obón	Plantae	SUBSPECIES	ACCEPTED	3898065	reject: stay with synonym	Tim Adriaens	2018-12-20	FALSE
141265487	Sanguisorba minor Scop. subsp. balearica (Bourgeau ex Nyman) Muñoz Garmendia & C. Navarro	9ff7d317-609b-4c08-bd86-3bc404b77c42	3029431	Sanguisorba minor subsp. balearica (Nyman) Muñoz Garm. & C.Navarro	Plantae	SUBSPECIES	HETEROTYPIC_SYNONYM	7925720	Poterium sanguisorba subsp. polygamum (Waldst. & Kit.) Asch. & Graebn.	Plantae	SUBSPECIES	ACCEPTED	7925720	accept	Tim Adriaens	2018-12-20	FALSE
206098493	Sarcococca pruniformis	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	3988050	Sarcococca pruniformis Lindl.	Plantae	SPECIES	SYNONYM	3988179	Sarcococca coriacea (Hook.) Sweet	Plantae	SPECIES	ACCEPTED	3988179	accept	Tim Adriaens	2023-09-15	FALSE
206100657	Sasa palmata	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	5290010	Sasa palmata (hort. ex Burb.) Nakai	Plantae	SPECIES	SYNONYM	8362005	Sasa palmata (Burb.) E.G.Camus	Plantae	SPECIES	ACCEPTED	8362005	accept	Tim Adriaens	2023-09-15	FALSE
141265019	Saxifraga stolonifera Meerb.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8062061	Saxifraga stolonifera Meerb.	Plantae	SPECIES	HETEROTYPIC_SYNONYM	3032762	Saxifraga stolonifera Curtis	Plantae	SPECIES	ACCEPTED	3032762	accept: same canonical	Peter Desmet	2018-12-20	FALSE
206103361	Scabiosa atropurpurea	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	2888805	Scabiosa atropurpurea L.	Plantae	SPECIES	SYNONYM	7301011	Sixalix atropurpurea subsp. atropurpurea	Plantae	SUBSPECIES	ACCEPTED	2888805	reject: stay with synonym	Tim Adriaens	2023-09-15	FALSE
141267059	Scabiosa atropurpurea L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	2888805	Scabiosa atropurpurea L.	Plantae	SPECIES	SYNONYM	7301011	Sixalix atropurpurea subsp. atropurpurea	Plantae	SUBSPECIES	ACCEPTED	2888805	reject: stay with synonym	Tim Adriaens	2018-12-20	FALSE
206100133	Scabiosa caucasica	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	2888801	Scabiosa caucasica M.Bieb.	Plantae	SPECIES	SYNONYM	4103351	Lomelosia caucasica (M.Bieb.) Greuter & Burdet	Plantae	SPECIES	ACCEPTED	4103351	accept	Tim Adriaens	2023-09-15	FALSE
206102264	Scabiosa lucida	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	7301110	Scabiosa lucida Aiton	Plantae	SPECIES	SYNONYM	4103685	Scabiosa nitens Roem. & Schult.	Plantae	SPECIES	ACCEPTED	4103685	accept	Tim Adriaens	2023-09-15	FALSE
206104968	Schkuhria pinnata	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	3101235	Schkuhria pinnata (Lam.) Kuntze ex Thell.	Plantae	SPECIES	SYNONYM	8346536	Schkuhria pinnata (Lam.) Kuntze	Plantae	SPECIES	ACCEPTED	8346536	accept	Tim Adriaens	2023-09-15	FALSE
141265329	Schkuhria pinnata (Lam.) O. Kuntze ex Thell. var. abrotanoides (Roth) Cabrera	9ff7d317-609b-4c08-bd86-3bc404b77c42	4247879	Schkuhria pinnata var. abrotanoides (Roth) Cabrera	Plantae	VARIETY	SYNONYM	8346536	Schkuhria pinnata (Lam.) Kuntze	Plantae	SPECIES	ACCEPTED	8346536	accept	Tim Adriaens	2018-12-20	FALSE
141265184	Schkuhria pinnata (Lam.) O. Kuntze ex Thell. var. pinnata	9ff7d317-609b-4c08-bd86-3bc404b77c42	7066061	Schkuhria pinnata var. pinnata	Plantae	VARIETY	SYNONYM	8346536	Schkuhria pinnata (Lam.) Kuntze	Plantae	SPECIES	ACCEPTED	8346536	accept	Quentin Groom	2018-12-20	FALSE
206096490	Schoenoplectus bucharicus	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	2711019	Schoenoplectus bucharicus (Roshev.) Grossh.	Plantae	SPECIES	SYNONYM	7961815	Schoenoplectiella bucharica (Roshev.) Hayas.	Plantae	SPECIES	ACCEPTED	7961815	accept	Tim Adriaens	2023-09-15	FALSE
