verifiedKey,startYear,lastYear,sourceChecklist,sourceTaxa
3981817,2017,2017,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264914
3988701,1926,2017,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264724
3989886,1874,1989,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264721
4005004,2016,2016,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264906
4007104,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145955512
4007682,1858,1858,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264902
4013762,2011,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141267236
4021919,1887,2017,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264808
4021920,1902,2013,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264806
4022175,1900,1900,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266890
4022463,1948,2013,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264811
4022617,1989,2013,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264809
4022621,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960630
4023278,1865,2013,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264810
4023424,1865,2011,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264807
4033335,2012,2012,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266415
4034001,2010,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266381
4034278,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145962749
4035024,2012,2015,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266401
4035232,2014,2017,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266396
4036951,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961957
4036957,1903,2002,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266409
4037065,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145962736
4037343,1898,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266421
4037874,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145962751
4037896,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957121
4038485,1954,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266426
4038524,2008,2017,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266389
4048052,2010,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264801
4048240,2005,2017,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264800
4055853,1945,1945,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266844
4058401,1979,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266346
4063372,1955,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266337
4064572,1948,1948,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266339
4065322,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145955923
4067264,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959083
4067281,2008,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266375
4067302,1999,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266330
4067952,1884,1937,9ff7d317-609b-4c08-bd86-3bc404b77c42,141266344
4083707,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961538
4084484,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961527
4085774,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961535
4090836,1851,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264631
4095186,1957,1957,9ff7d317-609b-4c08-bd86-3bc404b77c42,141267077
4095244,1850,1850,9ff7d317-609b-4c08-bd86-3bc404b77c42,141267068
4095810,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958914
4097656,2012,2014,9ff7d317-609b-4c08-bd86-3bc404b77c42,141264774
4102909,2017,2017,9ff7d317-609b-4c08-bd86-3bc404b77c42,141267064
4102952,2011,2015,9ff7d317-609b-4c08-bd86-3bc404b77c42,141267066
4104284,2012,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141267067
4104718,1953,1963,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265563
4104890,1896,1896,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265902
4105208,1902,1902,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265794
4105323,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957269
4105652,1904,1904,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265623
4106609,2014,2014,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265640
4107552,1912,1912,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265706
4107725,1948,1948,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265715
4107735,1893,1947,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265697
4108297,1921,1921,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265896
4109084,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145955532
4110334,1906,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265650
4110879,1947,1947,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265815
4111341,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145955136
4111606,1950,1950,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265663
4113402,1905,1905,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265802
4113766,1904,1947,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265571
4114539,1986,1986,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265826
4115568,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958328
4115652,1938,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265645
4115907,1887,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265878
4115955,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958318
4116483,1948,1948,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265888
4116522,1892,1956,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265651
4116709,1904,1947,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265806
4117648,1911,1911,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265675
4118560,2018,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265626
4118583,1887,2018,9ff7d317-609b-4c08-bd86-3bc404b77c42,141265654
