checklist_key	checklist_scientificName	checklist_datasetKey	backbone_taxonKey	backbone_scientificName	backbone_species	backbone_genus	backbone_family	backbone_order	backbone_class	backbone_phylum	backbone_kingdom	backbone_rank	backbone_speciesKey	backbone_taxonomicStatus	backbone_acceptedKey	backbone_acceptedName	backbone_issues
140563012	Eriocheir sinensis	289244ee-e1c1-49aa-b2d7-d379391ce265	2225776	Eriocheir sinensis H.Milne Edwards, 1853	Eriocheir sinensis	Eriocheir	Varunidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	2225776	ACCEPTED			NULL
140563014	Atyaephyra desmaresti	289244ee-e1c1-49aa-b2d7-d379391ce265	4309705	Atyaephyra desmarestii (Millet, 1831)	Hippolyte desmarestii	Hippolyte	Hippolytidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	6454754	HOMOTYPIC_SYNONYM	6454754	Hippolyte desmarestii Millet, 1831	CONFLICTING_BASIONYM_COMBINATION
140563016	Callinectes sapidus	289244ee-e1c1-49aa-b2d7-d379391ce265	2225646	Callinectes sapidus Rathbun, 1896	Callinectes sapidus	Callinectes	Portunidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	2225646	ACCEPTED			NULL
140563018	Procambarus clarkii	289244ee-e1c1-49aa-b2d7-d379391ce265	2227300	Procambarus clarkii (Girard, 1852)	Procambarus clarkii	Procambarus	Cambaridae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	2227300	ACCEPTED			NULL
140563019	Orconectes limosus	289244ee-e1c1-49aa-b2d7-d379391ce265	2227000	Orconectes limosus (Rafinesque, 1817)	Orconectes limosus	Orconectes	Cambaridae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	2227000	ACCEPTED			NULL
140563021	Astacus leptodactylus	289244ee-e1c1-49aa-b2d7-d379391ce265	4417551	Astacus leptodactylus Eschscholtz, 1823	Pontastacus leptodactylus	Pontastacus	Astacidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	8946295	SYNONYM	8946295	Pontastacus leptodactylus (Eschscholtz, 1823)	NULL
140563022	Pacifastacus leniusculus	289244ee-e1c1-49aa-b2d7-d379391ce265	2226990	Pacifastacus leniusculus (Dana, 1852)	Pacifastacus leniusculus	Pacifastacus	Astacidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	2226990	ACCEPTED			NULL
140563025	Sinelobus vanhaareni	289244ee-e1c1-49aa-b2d7-d379391ce265	7547256	Sinelobus vanhaareni Bamber, 2014	Sinelobus vanhaareni	Sinelobus	Tanaididae	Tanaidacea	Malacostraca	Arthropoda	Animalia	SPECIES	7547256	ACCEPTED			NULL
141117231	Clarias gariepinus	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	5202793	Clarias gariepinus (Burchell, 1822)	Clarias gariepinus	Clarias	Clariidae	Siluriformes	Actinopterygii	Chordata	Animalia	SPECIES	5202793	ACCEPTED			ORIGINAL_NAME_DERIVED
141117232	Cyprinus carpio	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	4286975	Cyprinus carpio Linnaeus, 1758	Cyprinus carpio	Cyprinus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	SPECIES	4286975	ACCEPTED			NULL
141117233	Ponticola kessleri	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	4285968	Ponticola kessleri (Günther, 1861)	Ponticola kessleri	Ponticola	Gobiidae	Perciformes	Actinopterygii	Chordata	Animalia	SPECIES	4285968	ACCEPTED			ORIGINAL_NAME_DERIVED
141117234	Acipenser baeri	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	4287131	Acipenser baerii Brandt, 1869	Acipenser baerii	Acipenser	Acipenseridae	Acipenseriformes	Actinopterygii	Chordata	Animalia	SPECIES	4287131	ACCEPTED			NULL
141117235	Hypophthalmichthys molitrix	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2362473	Hypophthalmichthys molitrix (Valenciennes, 1844)	Hypophthalmichthys molitrix	Hypophthalmichthys	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	SPECIES	2362473	ACCEPTED			ORIGINAL_NAME_DERIVED
141117236	Carassius gibelio	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2366634	Carassius gibelio (Bloch, 1782)	Carassius gibelio	Carassius	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	SPECIES	2366634	ACCEPTED			NULL
141117237	Pimephales promelas	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2367742	Pimephales promelas Rafinesque, 1820	Pimephales promelas	Pimephales	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	SPECIES	2367742	ACCEPTED			NULL
141117238	Aspius aspius	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2360181	Aspius aspius (Linnaeus, 1758)	Leuciscus aspius	Leuciscus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	SPECIES	5851603	SYNONYM	5851603	Leuciscus aspius (Linnaeus, 1758)	ORIGINAL_NAME_DERIVED
141117240	Carassius auratus	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	4286942	Carassius auratus (Linnaeus, 1758)	Carassius auratus	Carassius	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	SPECIES	4286942	ACCEPTED			NULL
141117241	Neogobius fluviatilis	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2379105	Neogobius fluviatilis (Pallas, 1814)	Neogobius fluviatilis	Neogobius	Gobiidae	Perciformes	Actinopterygii	Chordata	Animalia	SPECIES	2379105	ACCEPTED			NULL
141117242	Sander lucioperca	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2382155	Sander lucioperca (Linnaeus, 1758)	Sander lucioperca	Sander	Percidae	Perciformes	Actinopterygii	Chordata	Animalia	SPECIES	2382155	ACCEPTED			NULL
141117243	Lepomis gibbosus	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2394486	Lepomis gibbosus (Linnaeus, 1758)	Lepomis gibbosus	Lepomis	Centrarchidae	Perciformes	Actinopterygii	Chordata	Animalia	SPECIES	2394486	ACCEPTED			NULL
141117244	Ameiurus nebulosus	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2340989	Ameiurus nebulosus (Lesueur, 1819)	Ameiurus nebulosus	Ameiurus	Ictaluridae	Siluriformes	Actinopterygii	Chordata	Animalia	SPECIES	2340989	ACCEPTED			NULL
141117245	Oncorhynchus mykiss	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	5204019	Oncorhynchus mykiss (Walbaum, 1792)	Oncorhynchus mykiss	Oncorhynchus	Salmonidae	Salmoniformes	Actinopterygii	Chordata	Animalia	SPECIES	5204019	ACCEPTED			NULL
141117246	Ballerus ballerus	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2367033	Ballerus ballerus (Linnaeus, 1758)	Ballerus ballerus	Ballerus	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	SPECIES	2367033	ACCEPTED			NULL
141117247	Neogobius melanostomus	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2379089	Neogobius melanostomus (Pallas, 1814)	Neogobius melanostomus	Neogobius	Gobiidae	Perciformes	Actinopterygii	Chordata	Animalia	SPECIES	2379089	ACCEPTED			NULL
141117248	Ictalurus punctatus	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	5202520	Ictalurus punctatus (Rafinesque, 1818)	Ictalurus punctatus	Ictalurus	Ictaluridae	Siluriformes	Actinopterygii	Chordata	Animalia	SPECIES	5202520	ACCEPTED			NULL
141117249	Hypophthalmichthys nobilis	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2362486	Hypophthalmichthys nobilis (Richardson, 1845)	Hypophthalmichthys nobilis	Hypophthalmichthys	Cyprinidae	Cypriniformes	Actinopterygii	Chordata	Animalia	SPECIES	2362486	ACCEPTED			ORIGINAL_NAME_DERIVED
