checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Matricaria recutita L. var. coronata (J. Gay ex Boiss.) Fertig	Matricaria recutita var. coronata (J.Gay ex Boiss.) I.Gruenberg-Fertig	8258539	Plantae	SYNONYM	Matricaria chamomilla L.	8370958	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pilosella x duplex (Peter) Holub	Pilosella duplex (Peter) J.Holub	3134993	Plantae	SYNONYM	Pilosella prussica (Nägeli & Peter) Soják	9321334	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bidens frondosa L. var. anomala Porter ex Fernald	Bidens frondosa var. anomala Porter ex Fern.	5700912	Plantae	SYNONYM	Bidens frondosa L.	5392174			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eclipta prostrata (L.) L.	Eclipta prostrata (L.) L.	5384950	Plantae	SYNONYM	Eclipta alba Hassk.	5384955			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bidens frondosa L. var. frondosa	Bidens frondosa var. frondosa	7872129	Plantae	SYNONYM	Bidens frondosa L.	5392174			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Centaurea x extranea Beck	Centaurea ×extranea Beck	8173637	Plantae	SYNONYM	Centaurea jacea x nigrescens	9671002			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Carduus x theriotii Rouy	Carduus theriotii Rouy, 1905	4211074	Plantae	SYNONYM	Carduus cyrneus Schlüssel & Jeanm.	3114588			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Tagetes patula L.	Tagetes patula L.	3088492	Plantae	SYNONYM	Tagetes erecta L.	3088488			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Achillea cartilaginea Ledeb. ex Reichenb. s.l.	Achillea cartilaginea Ledeb. ex Rchb.	3120381	Plantae	SYNONYM	Achillea salicifolia subsp. salicifolia	7222196			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Schkuhria pinnata (Lam.) O. Kuntze ex Thell. var. pinnata	Schkuhria pinnata var. pinnata	7066061	Plantae	SYNONYM	Schkuhria pinnata (Lam.) Kuntze	8346536			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pulicaria arabica (L.) Cass. subsp. hispanica (Boiss.) Murb.	Pulicaria arabica subsp. hispanica (Boiss.) Murb.	6076957	Plantae	SYNONYM	Pulicaria paludosa Link	3095595			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
