taxonKey,marine,freshwater,terrestrial
141265333,FALSE,FALSE,TRUE
141265334,FALSE,FALSE,TRUE
141265335,FALSE,FALSE,TRUE
141265336,FALSE,FALSE,TRUE
141265337,FALSE,FALSE,TRUE
141265338,FALSE,FALSE,TRUE
141265339,FALSE,FALSE,TRUE
141265340,FALSE,FALSE,TRUE
141265341,FALSE,FALSE,TRUE
141265342,FALSE,FALSE,TRUE
141265343,FALSE,FALSE,TRUE
141265344,FALSE,FALSE,TRUE
141265345,FALSE,FALSE,TRUE
141265346,FALSE,FALSE,TRUE
141265347,FALSE,FALSE,TRUE
141265348,FALSE,FALSE,TRUE
141265349,FALSE,FALSE,TRUE
141265350,FALSE,FALSE,TRUE
141265351,FALSE,FALSE,TRUE
141265352,FALSE,FALSE,TRUE
141265353,FALSE,FALSE,TRUE
141265354,FALSE,FALSE,TRUE
141265355,FALSE,FALSE,TRUE
141265356,FALSE,FALSE,TRUE
141265357,FALSE,FALSE,TRUE
141265358,FALSE,FALSE,TRUE
141265359,FALSE,FALSE,TRUE
141265360,FALSE,FALSE,TRUE
141265361,FALSE,FALSE,TRUE
141265363,FALSE,FALSE,TRUE
141265364,FALSE,FALSE,TRUE
141265365,FALSE,FALSE,TRUE
141265366,FALSE,FALSE,TRUE
141265367,FALSE,FALSE,TRUE
141265368,FALSE,FALSE,TRUE
141265369,FALSE,FALSE,TRUE
141265370,FALSE,FALSE,TRUE
141265371,FALSE,FALSE,TRUE
141265372,FALSE,FALSE,TRUE
141265373,FALSE,FALSE,TRUE
141265374,FALSE,FALSE,TRUE
141265375,FALSE,FALSE,TRUE
141265376,FALSE,FALSE,TRUE
141265377,FALSE,FALSE,TRUE
141265378,FALSE,FALSE,TRUE
141265379,FALSE,FALSE,TRUE
141265380,FALSE,FALSE,TRUE
141265381,FALSE,FALSE,TRUE
141265382,FALSE,FALSE,TRUE
141265383,FALSE,FALSE,TRUE
141265384,FALSE,FALSE,TRUE
141265385,FALSE,FALSE,TRUE
141265386,FALSE,FALSE,TRUE
141265387,FALSE,FALSE,TRUE
141265388,FALSE,FALSE,TRUE
141265389,FALSE,FALSE,TRUE
141265390,FALSE,FALSE,TRUE
141265391,FALSE,FALSE,TRUE
141265392,FALSE,FALSE,TRUE
141265393,FALSE,FALSE,TRUE
141265394,FALSE,FALSE,TRUE
141265395,FALSE,FALSE,TRUE
141265396,FALSE,FALSE,TRUE
141265397,FALSE,FALSE,TRUE
141265398,FALSE,FALSE,TRUE
141265399,FALSE,FALSE,TRUE
141265400,FALSE,FALSE,TRUE
141265401,FALSE,FALSE,TRUE
141265402,FALSE,FALSE,TRUE
141265403,FALSE,FALSE,TRUE
141265404,FALSE,FALSE,TRUE
141265405,FALSE,FALSE,TRUE
141265406,FALSE,FALSE,TRUE
141265407,FALSE,FALSE,TRUE
141265408,FALSE,FALSE,TRUE
141265409,FALSE,FALSE,TRUE
141265410,FALSE,FALSE,TRUE
141265411,FALSE,FALSE,TRUE
141265412,FALSE,FALSE,TRUE
141265413,FALSE,FALSE,TRUE
141265414,FALSE,FALSE,TRUE
141265415,FALSE,FALSE,TRUE
141265416,FALSE,FALSE,TRUE
141265417,FALSE,FALSE,TRUE
141265418,FALSE,FALSE,TRUE
141265419,FALSE,FALSE,TRUE
