taxonKey,scientificName,taxonID,datasetKey,nameType,issues,validDistribution,bb_key,bb_scientificName,bb_kingdom,bb_rank,bb_taxonomicStatus,bb_acceptedKey,bb_acceptedName,bb_speciesKey
141264681,Onoclea sensibilis L.,alien-plants-belgium:taxon:5a1bf816895e3b5f02e7faf89ed98d13,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2650903,Onoclea sensibilis L.,Plantae,SPECIES,ACCEPTED,,,2650903
141264683,Pachysandra terminalis Siebold & Zucc.,alien-plants-belgium:taxon:641fd76ca8be8c9b3fc72fbf758fe465,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2984676,Pachysandra terminalis Siebold & Zucc.,Plantae,SPECIES,ACCEPTED,,,2984676
141264685,Tamarix parviflora DC.,alien-plants-belgium:taxon:fd029231f622ff86dbf0eb0aa87e197f,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2874706,Tamarix parviflora DC.,Plantae,SPECIES,ACCEPTED,,,2874706
141264686,Tamarix canariensis Willd.,alien-plants-belgium:taxon:e4ac7047f52bc03b98dbda794752f4e2,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2874701,Tamarix canariensis Willd.,Plantae,SPECIES,ACCEPTED,,,2874701
141264687,Myricaria germanica (L.) Desv.,alien-plants-belgium:taxon:8ccd0f80c36557f5388bf04f74e5992e,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",FALSE,3612876,,,,,,,
141264688,Tamarix gallica L.,alien-plants-belgium:taxon:6243a30ec296e59b6c68805561941d73,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,8380575,Tamarix gallica L.,Plantae,SPECIES,ACCEPTED,,,8380575
141264690,Frankenia pulverulenta L.,alien-plants-belgium:taxon:61afbb453664efa4b93340099dde99a3,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2874692,Frankenia pulverulenta L.,Plantae,SPECIES,ACCEPTED,,,2874692
141264691,Prunus domestica L. subsp. syriaca (Borkh.) Jancken ex Mansf.,alien-plants-belgium:taxon:5ef2d0aaaf9dca4c75eec55b0a3bb812,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,8132203,Prunus domestica subsp. syriaca (Borkh.) Mansf.,Plantae,SUBSPECIES,HOMOTYPIC_SYNONYM,3021280,Prunus ×syriaca Borkh.,3021280
141264692,Dicentra formosa (Haw.) Walp.,alien-plants-belgium:taxon:5538c182c3b9b38bbb8e857e8c4725c8,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2888553,Dicentra formosa (Andrews) Walp.,Plantae,SPECIES,ACCEPTED,,,2888553
141264694,Equisetum scirpoides Michaux,alien-plants-belgium:taxon:a31036f61ea57303daa1598e95e9d37b,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2687948,Equisetum scirpoides Michx.,Plantae,SPECIES,ACCEPTED,,,2687948
141264695,Equisetum hyemale L. subsp. affine (Engelm.) Calder & R.L. Taylor,alien-plants-belgium:taxon:5641c1a93a516bc21a2a109894bab820,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,6387033,Equisetum hyemale subsp. affine (Engelm.) Calder & Roy L.Taylor,Plantae,SUBSPECIES,ACCEPTED,,,2687927
141264697,Acorus calamus L.,alien-plants-belgium:taxon:574eaf931730ba162e0226a425247660,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2873769,Acorus calamus L.,Plantae,SPECIES,ACCEPTED,,,2873769
